Sucursal;Cajero;ID_Transaccion;Transaccion;Tiempo_Servicio_seg;Satisfaccion
62;4820;2;Cobro/Pago (Cta externa);41;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);41;Malo
62;4820;2;Cobro/Pago (Cta externa);41;Regular
62;4820;2;Cobro/Pago (Cta externa);41;Regular
62;4820;2;Cobro/Pago (Cta externa);41;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);42;Bueno
62;4820;2;Cobro/Pago (Cta externa);42;Regular
62;4820;2;Cobro/Pago (Cta externa);42;Bueno
62;4820;2;Cobro/Pago (Cta externa);42;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);42;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);42;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);42;Bueno
62;4820;2;Cobro/Pago (Cta externa);42;Malo
62;4820;2;Cobro/Pago (Cta externa);42;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);42;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);42;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);42;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);42;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);43;Muy Malo
62;4820;2;Cobro/Pago (Cta externa);43;Malo
62;4820;2;Cobro/Pago (Cta externa);43;Bueno
62;4820;2;Cobro/Pago (Cta externa);43;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);43;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);43;Bueno
62;4820;2;Cobro/Pago (Cta externa);43;Bueno
62;4820;2;Cobro/Pago (Cta externa);43;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);43;Malo
62;4820;2;Cobro/Pago (Cta externa);43;Malo
62;4820;2;Cobro/Pago (Cta externa);43;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);43;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);43;Regular
62;4820;2;Cobro/Pago (Cta externa);43;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);43;Malo
62;4820;2;Cobro/Pago (Cta externa);43;Regular
62;4820;2;Cobro/Pago (Cta externa);43;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);43;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);43;Malo
62;4820;2;Cobro/Pago (Cta externa);43;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);43;Regular
62;4820;2;Cobro/Pago (Cta externa);43;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);44;Bueno
62;4820;2;Cobro/Pago (Cta externa);44;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);44;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);44;Regular
62;4820;2;Cobro/Pago (Cta externa);44;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);44;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);44;Regular
62;4820;2;Cobro/Pago (Cta externa);44;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);44;Regular
62;4820;2;Cobro/Pago (Cta externa);44;Bueno
62;4820;2;Cobro/Pago (Cta externa);44;Bueno
62;4820;2;Cobro/Pago (Cta externa);44;Malo
62;4820;2;Cobro/Pago (Cta externa);44;Malo
62;4820;2;Cobro/Pago (Cta externa);44;Bueno
62;4820;2;Cobro/Pago (Cta externa);44;Regular
62;4820;2;Cobro/Pago (Cta externa);44;Muy Malo
62;4820;2;Cobro/Pago (Cta externa);44;Bueno
62;4820;2;Cobro/Pago (Cta externa);44;Bueno
62;4820;2;Cobro/Pago (Cta externa);44;Regular
62;4820;2;Cobro/Pago (Cta externa);45;Malo
62;4820;2;Cobro/Pago (Cta externa);45;Bueno
62;4820;2;Cobro/Pago (Cta externa);45;Muy Malo
62;4820;2;Cobro/Pago (Cta externa);45;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);45;Muy Malo
62;4820;2;Cobro/Pago (Cta externa);45;Regular
62;4820;2;Cobro/Pago (Cta externa);45;Malo
62;4820;2;Cobro/Pago (Cta externa);45;Malo
62;4820;2;Cobro/Pago (Cta externa);45;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);45;Bueno
62;4820;2;Cobro/Pago (Cta externa);45;Regular
62;4820;2;Cobro/Pago (Cta externa);45;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);45;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);45;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);45;Muy Malo
62;4820;2;Cobro/Pago (Cta externa);45;Bueno
62;4820;2;Cobro/Pago (Cta externa);45;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);45;Regular
62;4820;2;Cobro/Pago (Cta externa);45;Bueno
62;4820;2;Cobro/Pago (Cta externa);45;Regular
62;4820;2;Cobro/Pago (Cta externa);45;Bueno
62;4820;2;Cobro/Pago (Cta externa);46;Malo
62;4820;2;Cobro/Pago (Cta externa);46;Malo
62;4820;2;Cobro/Pago (Cta externa);46;Bueno
62;4820;2;Cobro/Pago (Cta externa);46;Bueno
62;4820;2;Cobro/Pago (Cta externa);46;Malo
62;4820;2;Cobro/Pago (Cta externa);46;Malo
62;4820;2;Cobro/Pago (Cta externa);46;Regular
62;4820;2;Cobro/Pago (Cta externa);46;Regular
62;4820;2;Cobro/Pago (Cta externa);46;Muy Malo
62;4820;2;Cobro/Pago (Cta externa);46;Malo
62;4820;2;Cobro/Pago (Cta externa);46;Bueno
62;4820;2;Cobro/Pago (Cta externa);46;Muy Malo
62;4820;2;Cobro/Pago (Cta externa);47;Regular
62;4820;2;Cobro/Pago (Cta externa);47;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);47;Regular
62;4820;2;Cobro/Pago (Cta externa);47;Muy Malo
62;4820;2;Cobro/Pago (Cta externa);48;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);48;Malo
62;4820;2;Cobro/Pago (Cta externa);48;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);48;Bueno
62;4820;2;Cobro/Pago (Cta externa);48;Regular
62;4820;2;Cobro/Pago (Cta externa);48;Bueno
62;4820;2;Cobro/Pago (Cta externa);48;Muy Bueno
62;4820;2;Cobro/Pago (Cta externa);48;Malo
62;4820;2;Cobro/Pago (Cta externa);49;Regular
62;4820;2;Cobro/Pago (Cta externa);49;Muy Bueno
