Sucursal,Cajero,ID_Transaccion,Transaccion,Tiempo_Servicio_seg,Satisfaccion,Monto
62,4820,2,Cobro/Pago (Cta externa),311,Muy Bueno,"2889,3"
62,4820,2,Cobro/Pago (Cta externa),156,Malo,"1670,69"
62,4820,2,Cobro/Pago (Cta externa),248,Regular,"3172,49"
62,4820,2,Cobro/Pago (Cta externa),99,Regular,1764.92
62,4820,2,Cobro/Pago (Cta externa),123,Muy Bueno,1835.69
62,4820,2,Cobro/Pago (Cta externa),172,Bueno,2165.42
62,4820,2,Cobro/Pago (Cta externa),140,Regular,1304.9
62,4820,2,Cobro/Pago (Cta externa),247,Bueno,4080.05
62,4820,2,Cobro/Pago (Cta externa),183,Muy Bueno,2541.27
62,4820,2,Cobro/Pago (Cta externa),91,Muy Bueno,2218.77
62,4820,2,Cobro/Pago (Cta externa),327,Muy Bueno,2450.08
62,4820,2,Cobro/Pago (Cta externa),145,Bueno,1298.62
62,4820,2,Cobro/Pago (Cta externa),306,Malo,2728.84
62,4820,2,Cobro/Pago (Cta externa),113,Muy Bueno,2491.94
62,4820,2,Cobro/Pago (Cta externa),158,Muy Bueno,2112.31
62,4820,2,Cobro/Pago (Cta externa),294,Muy Bueno,2950.88
62,4820,2,Cobro/Pago (Cta externa),326,Muy Bueno,2605.65
62,4820,2,Cobro/Pago (Cta externa),364,Muy Bueno,2701.64
62,4820,2,Cobro/Pago (Cta externa),291,Muy Malo,2061.16
62,4820,2,Cobro/Pago (Cta externa),94,Malo,1312.6
62,4820,2,Cobro/Pago (Cta externa),152,Bueno,846.92
62,4820,2,Cobro/Pago (Cta externa),209,Muy Bueno,2703.87
62,4820,2,Cobro/Pago (Cta externa),117,Muy Bueno,1457.26
62,4820,2,Cobro/Pago (Cta externa),76,Bueno,2096.41
62,4820,2,Cobro/Pago (Cta externa),203,Bueno,2138.34
62,4820,2,Cobro/Pago (Cta externa),87,Muy Bueno,1248.16
62,4820,2,Cobro/Pago (Cta externa),206,Malo,1624.47
62,4820,2,Cobro/Pago (Cta externa),211,Malo,2139.19
62,4820,2,Cobro/Pago (Cta externa),101,Muy Bueno,913.09
62,4820,2,Cobro/Pago (Cta externa),108,Muy Bueno,2201.17
62,4820,2,Cobro/Pago (Cta externa),165,Regular,1833.67
62,4820,2,Cobro/Pago (Cta externa),240,Muy Bueno,2099.39
62,4820,2,Cobro/Pago (Cta externa),99,Malo,2579.76
